call,evaluation,algorithm
2001,5,SA
4001,5,SA
6001,5,SA
8001,5,SA
10001,5,SA
12001,5,SA
14001,5,SA
16001,5,SA
18001,5,SA
20342,6,SA
22342,6,SA
24342,6,SA
26342,6,SA
28342,6,SA
30342,6,SA
32342,6,SA
34342,6,SA
36342,6,SA
38683,5,SA
40683,5,SA
42683,5,SA
44683,5,SA
46683,5,SA
48683,5,SA
50683,5,SA
52683,5,SA
54683,5,SA
57024,6,SA
59024,6,SA
61024,6,SA
63024,6,SA
65024,6,SA
67024,6,SA
69024,6,SA
71024,6,SA
73024,6,SA
75365,5,SA
77365,5,SA
79365,5,SA
81365,5,SA
83365,5,SA
85365,5,SA
87365,5,SA
89365,5,SA
91365,5,SA
93706,5,SA
95706,5,SA
97706,5,SA
99706,5,SA
101706,5,SA
103706,5,SA
105706,5,SA
107706,5,SA
109706,5,SA
112047,8,SA
114047,8,SA
116047,8,SA
118047,8,SA
120047,8,SA
122047,8,SA
124047,8,SA
126047,8,SA
128047,8,SA
130388,10,SA
132388,10,SA
134388,10,SA
136388,10,SA
138388,10,SA
140388,10,SA
142388,10,SA
144388,10,SA
146388,10,SA
148729,8,SA
150729,8,SA
152729,8,SA
154729,8,SA
156729,8,SA
158729,8,SA
160729,8,SA
162729,8,SA
164729,8,SA
167070,5,SA
169070,5,SA
171070,5,SA
173070,5,SA
175070,5,SA
177070,5,SA
179070,5,SA
181070,5,SA
183070,5,SA
185411,7,SA
187411,7,SA
189411,7,SA
191411,7,SA
193411,7,SA
195411,7,SA
197411,7,SA
199411,7,SA
201411,7,SA
203752,6,SA
205752,6,SA
207752,6,SA
209752,6,SA
211752,6,SA
213752,6,SA
215752,6,SA
217752,6,SA
219752,6,SA
222093,6,SA
224093,6,SA
226093,6,SA
228093,6,SA
230093,6,SA
232093,6,SA
234093,6,SA
236093,6,SA
238093,6,SA
240434,7,SA
242434,7,SA
244434,7,SA
246434,7,SA
248434,7,SA
250434,7,SA
252434,7,SA
254434,7,SA
256434,7,SA
258775,6,SA
260775,6,SA
262775,6,SA
264775,6,SA
266775,6,SA
268775,6,SA
270775,6,SA
272775,6,SA
274775,6,SA
277116,4,SA
279116,4,SA
281116,4,SA
283116,4,SA
285116,4,SA
287116,4,SA
289116,4,SA
291116,4,SA
293116,4,SA
295457,3,SA
297457,3,SA
299457,3,SA
301457,3,SA
303457,3,SA
305457,3,SA
307457,3,SA
309457,3,SA
311457,3,SA
313798,8,SA
315798,8,SA
317798,8,SA
319798,8,SA
321798,8,SA
323798,8,SA
325798,8,SA
327798,8,SA
329798,8,SA
332139,7,SA
334139,7,SA
336139,7,SA
338139,7,SA
340139,7,SA
342139,7,SA
344139,7,SA
346139,7,SA
348139,7,SA
350480,8,SA
352480,8,SA
354480,8,SA
356480,8,SA
358480,8,SA
360480,8,SA
362480,8,SA
364480,8,SA
366480,8,SA
368821,7,SA
370821,7,SA
372821,7,SA
374821,7,SA
376821,7,SA
378821,7,SA
380821,7,SA
382821,7,SA
384821,7,SA
387162,12,SA
389162,12,SA
391162,12,SA
393162,12,SA
395162,12,SA
397162,12,SA
399162,12,SA
401162,12,SA
403162,12,SA
405503,7,SA
407503,7,SA
409503,7,SA
411503,7,SA
413503,7,SA
415503,7,SA
417503,7,SA
419503,7,SA
421503,7,SA
423844,8,SA
425844,8,SA
427844,8,SA
429844,8,SA
431844,8,SA
433844,8,SA
435844,8,SA
437844,8,SA
439844,8,SA
442185,5,SA
444185,5,SA
446185,5,SA
448185,5,SA
450185,5,SA
452185,5,SA
454185,5,SA
456185,5,SA
458185,5,SA
460526,9,SA
462526,9,SA
464526,9,SA
466526,9,SA
468526,9,SA
470526,9,SA
472526,9,SA
474526,9,SA
476526,9,SA
478867,6,SA
480867,5,SA
482867,5,SA
484867,5,SA
486867,5,SA
488867,5,SA
490867,5,SA
492867,5,SA
494867,5,SA
497208,8,SA
499208,8,SA
501208,8,SA
503208,8,SA
505208,8,SA
507208,8,SA
509208,8,SA
511208,8,SA
513208,8,SA
515549,9,SA
517549,9,SA
519549,9,SA
521549,9,SA
523549,9,SA
525549,9,SA
527549,9,SA
529549,9,SA
531549,9,SA
533890,4,SA
535890,4,SA
537890,4,SA
539890,4,SA
541890,4,SA
543890,4,SA
545890,4,SA
547890,4,SA
549890,4,SA
116,9,HC
232,5,HC
348,3,HC
464,2,HC
580,2,HC
696,2,HC
812,2,HC
928,2,HC
1044,2,HC
1160,2,HC
1276,2,HC
1392,2,HC
1508,2,HC
1624,2,HC
1740,2,HC
1856,2,HC
1972,2,HC
2088,2,HC
2204,2,HC
2320,2,HC
2436,2,HC
2552,2,HC
2668,2,HC
21,4,GA
41,4,GA
61,4,GA
81,3,GA
101,3,GA
121,3,GA
141,3,GA
161,3,GA
181,3,GA
201,2,GA
221,2,GA
241,2,GA
261,2,GA
281,2,GA
301,2,GA
321,2,GA
341,2,GA
361,2,GA
381,2,GA
401,2,GA
421,2,GA
441,2,GA
461,2,GA
481,2,GA
501,2,GA
521,2,GA
541,2,GA
561,2,GA
581,2,GA
601,2,GA
621,2,GA
641,2,GA
661,2,GA
681,2,GA
701,2,GA
721,2,GA
741,2,GA
761,2,GA
781,2,GA
801,2,GA
821,2,GA
841,2,GA
861,2,GA
881,2,GA
901,2,GA
921,2,GA
941,2,GA
961,2,GA
981,2,GA
1001,2,GA
