exec,algorithm,evaluation
1,HC,1
1,SA,5
1,GA,2
2,HC,2
2,SA,6
2,GA,2
3,HC,0
3,SA,5
3,GA,2
4,HC,1
4,SA,6
4,GA,2
5,HC,1
5,SA,5
5,GA,3
6,HC,0
6,SA,5
6,GA,1
7,HC,1
7,SA,8
7,GA,3
8,HC,0
8,SA,10
8,GA,1
9,HC,0
9,SA,8
9,GA,2
10,HC,0
10,SA,5
10,GA,2
11,HC,0
11,SA,7
11,GA,2
12,HC,0
12,SA,6
12,GA,2
13,HC,1
13,SA,6
13,GA,2
14,HC,2
14,SA,7
14,GA,3
15,HC,1
15,SA,6
15,GA,4
16,HC,2
16,SA,4
16,GA,2
17,HC,2
17,SA,3
17,GA,1
18,HC,0
18,SA,8
18,GA,1
19,HC,0
19,SA,7
19,GA,2
20,HC,1
20,SA,8
20,GA,2
21,HC,1
21,SA,7
21,GA,1
22,HC,0
22,SA,12
22,GA,2
23,HC,0
23,SA,7
23,GA,3
24,HC,0
24,SA,8
24,GA,2
25,HC,1
25,SA,5
25,GA,1
26,HC,0
26,SA,9
26,GA,2
27,HC,1
27,SA,5
27,GA,2
28,HC,1
28,SA,8
28,GA,3
29,HC,1
29,SA,9
29,GA,1
30,HC,2
30,SA,4
30,GA,2
